자치구,대여소명,기준년월,대여건수,반납건수
강동구,3683. KT&G강동지사,202207," 1,750 "," 1,843 "
강동구,3684. 고덕자이(105동 앞),202207," 1,591 "," 1,626 "
강동구,3685. 강동리엔파크14단지(1401동 앞),202207," 1,496 "," 1,553 "
강동구,3686. 고덕 래미안 힐스테이트(101동),202207, 767 , 761 
강동구,3687. 신명초교입구 교차로,202207," 2,194 "," 2,485 "
강동구,3688. 상일동산(동아아파트앞 교차로),202207, 471 , 476 
강동구,3689. 강일역 3번출구,202207," 1,543 "," 1,404 "
강동구,3690. 강일역 4번출구,202207, 610 , 364 
강동구,3691. 둔촌역 2번출구,202207, 687 , 684 
강동구,3692. 둔촌오륜역 1번 출구,202207, 601 , 587 
강동구,3694. 강동리엔파크 13단지(1303동 앞),202207, 886 , 891 
강동구,3698. 명일역 3번출구 옆,202207," 1,418 "," 1,415 "
강동구,3699. 상일파출소 옆,202207," 1,233 "," 1,239 "
강동구,3700. 강변그대가리버뷰 입구 맞은편,202207, 586 , 663 
강북구,"1501. 미아역 3번,4번 출구 사이",202207," 1,935 "," 1,943 "
강북구,1503. 강북구청사거리(수유역 8번출구),202207," 2,742 "," 2,731 "
강북구,1504. 삼양시장오거리,202207, 657 , 661 
강북구,1506. 강북문화예술회관,202207," 1,571 "," 1,564 "
강북구,1509. 서울북부수도사업소,202207, 730 , 807 
강북구,1510. 번동주공5단지 관리사무소 앞,202207, 465 , 479 
강북구,1511. 번동 금호어울림아파트102동앞,202207, 549 , 545 
강북구,1512. 강북중학교 앞,202207," 2,468 "," 2,489 "
강북구,1513. 강북구청 뒷편,202207, 443 , 434 
강북구,1514. 강북구청 사거리 버스정류소 앞,202207," 1,461 "," 1,449 "
강북구,1515. 송천동 주민센터,202207, 728 , 738 
강북구,1516. 우이초등학교 후문 옆,202207, 694 , 682 
강북구,1518. 수유2동은행빌딩 앞,202207, 752 , 737 
강북구,1519. 장미원시장 건너편,202207, 980 , 928 
강북구,1520. 수유중앙시장,202207," 1,448 "," 1,456 "
강북구,1522. 월드전기조명인테리어(우이동),202207, 292 , 293 
강북구,1525. 미아동 복합청사,202207, 643 , 644 
강북구,1526. 강북종합시장 앞,202207," 1,042 "," 1,049 "
강북구,1527. 미아역 1번 출구 뒤,202207," 1,165 "," 1,159 "
강북구,1528. 삼각산동 주민센터,202207," 1,029 ", 388 
강북구,1529. 미아동 한국전력공사,202207," 1,973 "," 1,951 "
강북구,1530. 광산사거리,202207," 2,040 "," 2,035 "
강북구,1531. 미아사거리 1번 출구,202207," 2,913 "," 3,071 "
강북구,1532. 번3동 주민센터 교차로,202207, 881 ," 1,031 "
강북구,"1533. 번동 주공3, 4단지 교차로",202207," 1,333 "," 1,466 "
강북구,1535. 효성인텔리안 앞,202207," 2,032 "," 2,030 "
강북구,1536. 번동 두산위브 101동 옆,202207, 919 , 775 
강북구,1537. 북한산 우이역,202207, 638 , 585 
강북구,1538. 솔밭공원역,202207, 466 , 474 
강북구,1539. 4.19민주묘지역,202207, 580 , 572 
강북구,1540. 가오리역,202207," 1,240 "," 1,222 "
강북구,1541. 삼양역,202207, 239 , 187 
강북구,1542. 삼양사거리역,202207, 556 , 555 
강북구,1543. 수유1동 주민센터,202207, 661 , 658 
강북구,1546. 송천동우체국,202207, 577 , 652 
강북구,1547. 꿈의숲 롯데캐슬,202207, 592 , 336 
강북구,1548. 북서울 꿈의숲 서문,202207, 704 , 348 
강북구,1550.삼각산아이원아파트(105동 옆),202207, 135 , 23 
강북구,1551.4.19탑 앞,202207, 681 , 659 
강북구,1552. 강북구청사거리,202207," 2,001 "," 2,011 "
강북구,1553.서울북부고용노동지청,202207, 934 , 883 
강북구,1554.번동사거리,202207, 866 , 842 
강북구,1557.신창교,202207," 1,104 "," 1,130 "
강북구,1558.강북문화정보도서관,202207, 409 , 309 
강북구,1560. 도봉세무서 앞,202207," 1,195 "," 1,189 "
강북구,1564.4.19민주묘지역 1번출구,202207," 1,139 "," 1,146 "
강북구,1565.수유사거리,202207," 1,693 "," 1,684 "
강북구,1568.4.19민주묘지 입구사거리,202207, 861 , 845 
강북구,1569.수유역2번출구,202207," 3,731 "," 3,690 "
강북구,1571.북서울 꿈의 숲 입구,202207, 501 , 543 
강북구,1572. 우이동 먹거리마을,202207, 210 , 143 
강북구,1573.현대성우아파트 옆,202207, 460 , 431 
강북구,1574.송중초등학교 옆,202207, 866 , 884 
강북구,3703. 삼양입구사거리,202207, 413 , 418 
강북구,3707. 드래곤타워 앞,202207," 1,185 "," 1,139 "
강북구,3711. 월계2교 교차로,202207, 703 , 771 
강북구,3714. 송천센트레빌,202207, 292 , 237 
강북구,3718. 번동3단지 버스정류장,202207, 952 ," 1,280 "
강서구,1101. 개화동상사마을종점 버스정류장,202207, 344 , 462 
강서구,1102. 방화사거리 마을버스 버스정류장,202207," 3,718 "," 3,888 "
